role,question,expected_keywords
Software Engineer,Explain the difference between a stack and a queue.,"stack, queue, LIFO, FIFO, data structure, push, pop, enqueue, dequeue"
Software Engineer,What is object-oriented programming?,"OOP, classes, objects, inheritance, polymorphism, encapsulation, abstraction"
Software Engineer,Describe the concept of recursion.,"recursion, base case, recursive call, function, stack, iteration"
Software Engineer,What are the main principles of REST API?,"REST, HTTP, GET, POST, PUT, DELETE, stateless, resource, endpoint"
Software Engineer,Explain time complexity and Big O notation.,"time complexity, Big O, algorithm, efficiency, O(n), O(log n), performance"
Data Scientist,What is the difference between supervised and unsupervised learning?,"supervised, unsupervised, labeled data, classification, regression, clustering"
Data Scientist,Explain the bias-variance tradeoff.,"bias, variance, overfitting, underfitting, model complexity, generalization"
Data Scientist,What is cross-validation?,"cross-validation, k-fold, training set, validation set, model evaluation"
Data Scientist,Describe the working of a decision tree.,"decision tree, nodes, splits, entropy, information gain, classification"
Data Scientist,What is feature engineering?,"feature engineering, feature selection, data preprocessing, transformation, scaling"
Frontend Developer,What is the difference between let, const, and var in JavaScript?,"let, const, var, scope, hoisting, block scope, reassignment"
Frontend Developer,Explain the concept of closures in JavaScript.,"closure, scope, function, lexical environment, encapsulation"
Frontend Developer,What is the virtual DOM in React?,"virtual DOM, React, reconciliation, rendering, performance, diffing"
Frontend Developer,Describe CSS flexbox and its use cases.,"flexbox, layout, flex container, flex items, justify-content, align-items"
Frontend Developer,What are React hooks?,"hooks, useState, useEffect, functional components, state management"
Backend Developer,Explain the difference between SQL and NoSQL databases.,"SQL, NoSQL, relational, document, schema, scalability, ACID"
Backend Developer,What is middleware in Express.js?,"middleware, Express, request, response, next, routing, error handling"
Backend Developer,Describe the concept of database indexing.,"indexing, database, performance, query optimization, B-tree, search"
Backend Developer,What is JWT and how does it work?,"JWT, JSON Web Token, authentication, authorization, token, security"
Backend Developer,Explain the MVC architecture pattern.,"MVC, Model, View, Controller, separation of concerns, architecture"
